State,Abbr,StateId,Population_2016,Population_2015,Population_2013,Population_2010,PopulationChange(2015-2010),PopulationChangePercentage(2015-2010)
Alabama,AL,01,4863300,4858979,4833722,4779736,79243,1.6308570174927697
Alaska,AK,02,741894,738432,735132,710231,28201,3.8190381781937943
Arizona,AZ,04,6931071,6828065,6626624,6392017,436048,6.386113781869388
Arkansas,AR,05,2988248,2978204,2959373,2915918,62286,2.0913946794779674
California,CA,06,39250017,39144818,38332521,37253956,1890862,4.830427363335806
Colorado,CO,08,5540545,5456574,5268367,5029196,427378,7.832350482189007
Connecticut,CT,09,3576452,3590886,3596080,3574097,16789,0.46754477864237404
Delaware,DE,10,952065,945934,925749,897934,48000,5.074349796074568
DistrictofColumbia,DC,11,681170,672228,646449,601723,70505,10.488256960436043
Florida,FL,12,20612439,20271272,19552860,18801310,1469962,7.251454176136554
Georgia,GA,13,10310371,10214860,9992167,9687653,527207,5.161176952009132
Hawaii,HI,15,1428557,1431603,1404054,1360301,71302,4.980570730852059
Idaho,ID,16,1683140,1654930,1612136,1567582,87348,5.2780480141154005
Illinois,IL,17,12801539,12859995,12882135,12830632,29363,0.22832823807474265
Indiana,IN,18,6633053,6619680,6570902,6483802,135878,2.052636985473618
Iowa,IA,19,3134693,3123899,3090416,3046355,77544,2.482282557790761
Kansas,KS,20,2907289,2911641,2893957,2853118,58523,2.009966201190325
Kentucky,KY,21,4436974,4425092,4395295,4339367,85725,1.9372478583496118
Louisiana,LA,22,4681666,4670724,4625470,4533372,137352,2.9407004138972885
Maine,ME,23,1331479,1329328,1328302,1328361,967,0.07274352153870225
Maryland,MD,24,6016447,6006401,5928814,5773552,232849,3.8766808942659674
Massachusetts,MA,25,6811779,6794422,6692824,6547629,246793,3.6322883683115355
Michigan,MI,26,9928300,9922576,9895622,9883640,38936,0.3923981030732342
Minnesota,MN,27,5519952,5489594,5420380,5303925,185669,3.3821991207364333
Mississippi,MS,28,2988726,2992333,2991207,2967297,25036,0.8366715870192255
Missouri,MO,29,6093000,6083672,6044171,5988927,94745,1.5573653543452046
Montana,MT,30,1042520,1032949,1015165,989415,43534,4.214535277153083
Nebraska,NE,31,1907116,1896190,1868516,1826341,69849,3.683649845215933
Nevada,NV,32,2940058,2890845,2790136,2700551,190294,6.582642791294587
NewHampshire,NH,33,1334795,1330608,1323459,1316470,14138,1.0625217945480563
NewJersey,NJ,34,8944469,8958013,8899339,8791894,166119,1.8544179384423756
NewMexico,NM,35,2081015,2085109,2085287,2059179,25930,1.243580071833175
NewYork,NY,36,19745289,19795791,19651127,19378102,417689,2.1099889365370648
NorthCarolina,NC,37,10146788,10042802,9848060,9535483,507319,5.051568277458821
NorthDakota,ND,38,757952,756927,723393,672591,84336,11.14189347189359
Ohio,OH,39,11614373,11613423,11570808,11536504,76919,0.662328410839767
Oklahoma,OK,40,3923561,3911338,3850568,3751351,159987,4.090339418378059
Oregon,OR,41,4093465,4028977,3930065,3831074,197903,4.911991306974451
Pennsylvania,PA,42,12784227,12802503,12773801,12702379,100124,0.7820658194729577
RhodeIsland,RI,44,1056426,1056298,1051511,1052567,3731,0.3532147178163738
SouthCarolina,SC,45,4961119,4896146,4774839,4625364,270782,5.530513183226153
SouthDakota,SD,46,865454,858469,844877,814180,44289,5.15906806186362
Tennessee,TN,47,6651194,6600299,6495978,6346105,254194,3.8512497691392467
Texas,TX,48,27862596,27469114,26448193,25145561,2323553,8.458783927286479
Utah,UT,49,3051217,2995919,2900872,2763885,232034,7.7450024516684195
Vermont,VT,50,624594,626042,626630,625741,301,0.04807984128860364
Virginia,VA,51,8411808,8382993,8260405,8001024,381969,4.556475235038369
Washington,WA,53,7288000,7170351,6971406,6724540,445811,6.217422271238884
WestVirginia,WV,54,1831102,1844128,1854304,1852994,-8866,-0.4807692307692308
Wisconsin,WI,55,5778708,5771337,5742713,5686986,84351,1.4615504171736982
Wyoming,WY,56,585501,586107,582658,563626,22481,3.835647757150145
